event_id,brightness,frp,confidence,day_night,distance_to_industrial,distance_to_refinery,distance_to_powerplant,distance_to_mine,distance_to_gas_facility,distance_to_road,near_industrial_facility,near_refinery,near_powerplant,near_mine,near_gas_facility,forest_pct,cropland_pct,grassland_pct,builtup_pct,water_pct,detections_7d,detections_30d,detections_90d,mean_frp_30d,max_frp_30d,mean_brightness_30d,days_active_30d,persistence_score,frp_deviation,frp_ratio,brightness_deviation,brightness_ratio,osm_query_status,data_quality_flags,candidate_label,verified_label,verification_status
SYN_PTS_001,346.2362,11.295,50,day,3.6912,3.1305,2.96,,0.7067,1.0087,1.0,1,1,0.0,1,16.04,4.1155,22.454,25.3174,15.0,5,20,82,8.9057,11.2859,344.6295,26,0.8667,-1.2736,1.006,-0.3969,0.9953,industrial:ok; refinery:ok; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_012,364.0973,28.9286,50,day,1.2329,,3.7405,,0.8138,1.7202,1.0,0,1,0.0,1,15.4687,19.4578,15.4561,38.5678,11.0496,5,21,81,31.8229,39.4001,365.8615,23,0.7667,1.4885,0.987,-1.3754,0.9962,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_013,359.9733,33.3665,50,day,0.8034,2.8076,3.9683,,0.6014,1.3345,1.0,1,1,0.0,1,12.7461,2.7769,28.3182,36.7408,15.0,5,25,63,31.0387,38.0224,360.6937,28,0.9333,1.7285,1.0664,0.8639,0.9877,industrial:ok; refinery:ok; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_014,341.3702,32.1603,80,day,1.718,,4.153,,,0.3677,1.0,0,1,0.0,0,2.9213,18.0406,26.6516,54.9386,0.0,4,24,80,31.5474,39.3376,341.571,23,0.7667,0.2605,0.978,0.6357,1.0269,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_015,340.4547,24.1433,80,day,4.2602,1.281,,,,0.1876,1.0,1,0,0.0,0,2.598,11.4986,6.1305,35.3362,15.0,6,21,76,26.9601,29.7059,342.8181,29,0.9667,0.7866,1.0129,-1.8916,1.0158,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_016,340.5021,32.8906,80,day,1.6575,3.3898,2.5061,,,1.3027,1.0,1,1,0.0,0,14.3184,19.8734,5.6592,61.8841,0.0,3,30,84,35.0836,41.4688,342.2337,22,0.7333,1.69,1.0212,-1.1121,0.9784,industrial:ok; refinery:ok; powerplant:ok; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_017,344.1273,10.3893,50,night,2.4789,,3.6932,,,0.1017,1.0,0,1,0.0,0,2.3825,3.3283,14.4116,58.6286,15.0,6,30,71,12.2917,19.9217,342.0373,28,0.9333,0.829,0.9221,-1.0757,1.0221,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_018,350.7427,13.2915,50,day,3.2527,,,,1.1932,1.1923,1.0,0,0,0.0,1,16.6153,11.9694,25.2638,39.3047,6.8468,7,30,80,11.8389,14.9263,349.613,21,0.7,-1.3898,1.0262,0.6876,0.9992,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_019,347.9584,9.2211,50,night,1.8272,3.0819,3.3079,,1.1257,1.8834,1.0,1,1,0.0,1,14.4186,19.4474,29.6819,53.7892,0.0,5,22,90,7.2464,9.6454,346.4493,23,0.7667,0.3052,0.9485,-1.9212,1.0237,industrial:ok; refinery:ok; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_020,343.7369,16.7839,50,day,4.3815,1.2084,,,1.501,1.1722,1.0,1,0,0.0,1,2.5456,11.4158,8.7604,53.9544,15.0,3,28,55,17.7958,24.2425,345.2006,25,0.8333,0.4269,1.0738,-1.5836,1.018,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_021,353.3556,18.4943,50,day,4.3423,,4.06,,2.6969,0.8069,1.0,0,1,0.0,1,2.6119,13.3292,19.8533,24.6406,15.0,3,26,62,21.0706,26.5174,350.5568,21,0.7,-0.3035,0.9438,1.1997,0.9955,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_022,339.1848,15.3264,50,day,1.3575,4.3157,1.852,,3.3584,1.3044,1.0,1,1,0.0,1,19.7462,14.5235,14.5223,60.6149,0.0,7,26,89,15.667,22.718,339.6041,27,0.9,0.9458,0.9863,-1.2858,0.9713,industrial:ok; refinery:ok; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_023,343.7643,30.3759,80,night,2.3884,,2.0023,,3.1408,0.9436,1.0,0,1,0.0,1,8.1111,10.1817,29.2479,42.7364,9.7229,7,30,69,30.8056,33.6442,345.3391,27,0.9,1.7375,0.9337,0.611,0.9861,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_024,345.9909,17.6323,50,night,1.5637,1.9806,,,,1.114,1.0,1,0,0.0,0,8.0422,13.296,26.053,57.1906,0.0,4,25,76,16.3122,23.0838,348.2515,20,0.6667,1.7023,1.0795,-1.0473,1.0025,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_025,348.6821,15.5852,50,night,1.4963,,,,4.3195,1.8859,1.0,0,0,0.0,1,16.4432,12.5177,25.9582,34.4022,10.6787,5,27,68,17.2022,20.412,347.7346,22,0.7333,-0.1966,1.0004,-1.6022,1.008,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_026,358.5553,22.6528,50,night,0.4549,,0.6438,,,0.8029,1.0,0,1,0.0,0,18.9977,18.2208,16.7173,60.2985,0.0,5,23,80,20.7751,23.757,360.4828,29,0.9667,-1.547,1.0153,-1.0273,0.9855,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_027,340.9902,11.805,80,day,2.8602,,,,,1.9243,1.0,0,0,0.0,0,19.734,2.818,15.3705,37.5141,15.0,6,27,82,10.7471,13.7327,338.654,28,0.9333,1.9394,0.9307,0.8891,0.9784,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_028,350.427,29.6593,50,night,2.4113,4.3666,,,2.9469,1.8154,1.0,1,0,0.0,1,15.3142,7.0573,11.8352,20.4877,15.0,4,23,77,29.2119,36.0993,352.5057,24,0.8,1.3556,1.04,1.4228,1.0201,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_029,352.7724,10.0129,50,day,0.5162,4.3545,,,,0.4318,1.0,1,0,0.0,0,8.1489,19.1074,6.4094,60.7422,5.5921,4,27,68,10.0586,16.0498,350.5373,25,0.8333,-1.5013,0.9536,1.3209,1.0291,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_030,336.3935,34.6459,80,day,1.4703,,,,1.4909,0.1853,1.0,0,0,0.0,1,2.5865,18.0247,26.6181,24.1079,15.0,4,28,78,33.1004,38.2388,335.7772,23,0.7667,1.6834,1.0637,-0.4113,1.0015,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_031,353.2263,28.8506,50,night,4.1147,1.6778,,,,0.2465,1.0,1,0,0.0,0,15.7658,10.2018,25.3225,34.3691,14.3408,4,22,56,26.5396,30.6926,355.0101,29,0.9667,1.4796,0.9528,0.6723,0.9803,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_032,340.1157,13.3653,50,night,1.3062,,,,3.5314,0.0855,1.0,0,0,0.0,1,11.6097,13.1624,29.9929,62.7528,0.0,5,22,80,14.029,21.2922,338.0152,21,0.7,0.0754,0.9505,-1.1801,0.9863,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_033,336.9515,8.1491,50,night,0.9086,,3.7904,,,0.2342,1.0,0,1,0.0,0,9.0602,6.9929,29.9159,62.7773,0.0,5,30,68,6.8809,11.2356,335.327,30,1.0,0.3651,0.9258,-0.8274,0.9711,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_034,363.4666,30.0175,50,night,2.3557,1.7677,1.9408,,0.9643,1.3819,1.0,1,1,0.0,1,18.2207,5.3862,18.8858,45.8047,11.7026,4,21,61,30.5049,37.4045,364.8001,27,0.9,-0.404,0.9955,1.5853,1.0249,industrial:ok; refinery:ok; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_035,363.969,27.0851,50,night,4.4397,1.178,,,0.684,0.1888,1.0,1,0,0.0,1,3.1128,10.3466,24.2247,48.4327,13.8832,6,29,57,25.0113,29.6461,365.2892,30,1.0,-1.781,1.0104,-1.948,0.9771,industrial:ok; refinery:ok; powerplant:not_found; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_036,359.2519,27.6832,80,night,1.3166,,2.589,,0.6629,0.672,1.0,0,1,0.0,1,10.3599,8.3603,28.6191,40.18,12.4807,3,22,77,27.57,31.8317,360.0988,25,0.8333,-0.6592,0.9305,-1.658,1.0046,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_037,344.1384,28.8243,80,night,3.123,4.2446,3.58,,3.9218,1.6975,1.0,1,1,0.0,1,1.2157,12.5058,26.2412,33.1945,15.0,3,22,72,29.0198,33.7959,345.3021,24,0.8,1.2114,1.0441,-1.1685,0.9864,industrial:ok; refinery:ok; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_038,337.9302,9.9992,80,night,3.4988,3.2841,1.3633,,3.3146,0.0954,1.0,1,1,0.0,1,9.9046,3.3992,11.1837,34.7899,15.0,6,24,89,7.3101,11.1184,338.1865,28,0.9333,-1.9815,0.9925,-1.8939,1.0033,industrial:ok; refinery:ok; powerplant:ok; mine:not_found; gas_facility:ok; road:ok,synthetic,2,2,synthetic
SYN_PTS_039,355.527,17.6786,50,day,1.2981,,2.9916,,,1.6382,1.0,0,1,0.0,0,2.0698,19.5391,16.2636,50.2633,11.8642,4,24,69,16.6982,23.1839,354.0378,20,0.6667,-0.666,1.0039,-1.2743,1.0091,industrial:ok; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
SYN_PTS_040,348.2046,11.1285,50,night,3.3585,,,,,0.5996,1.0,0,0,0.0,0,3.2575,19.7518,8.229,53.8569,14.9048,5,21,79,8.935,13.9513,347.2788,24,0.8,-0.4073,0.9905,0.3322,1.0198,industrial:ok; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,synthetic,2,2,synthetic
